,0,1,2



 









 



맘에들어서 깨방정좀 떨어주고🤣🤣🤣​각 베젤링의 장단점을 적어볼게용갠적인 의견이지만 큐빅베젤링 구매 원하시는 횐님들은참고하셔서 구매하시면 좋을 듯 합니당​몽끼가 기존에 가지고 있던 베젤링의 장점은화려하다✔️예쁘다✔️튼튼하다✔️고급스럽다✔️​단점은비싸다🚫무겁다🚫​새로 구매한 뜨끈한🔥 한줄 큐빅베젤링의 장점은저렴하다✔️가볍다✔️예쁘다✔️​단점은 퀄리티가 약하다🚫도색이 벗겨질 것 같은 재질🚫플라스틱이라 파손위험🚫​그래도 가격대에 비해 마감도 훌륭하고,큐빅도 정갈하다.가벼워서 데일리로 착용하기에 좋고,싼마이로 부담없이 사용하기에 최고인 듯👍🏻👍🏻👍🏻​오늘도 개코의 긴글을 읽어주셔서 감사함미다



 









 



저는 호다닥 도망갑니드아아​주말마무리 잘하세요오오오🙌🏻​",2021.07.11. 16:40
650,일요일 워치입니다 😊,"​후우.. 주말도 끝나가네요..​내일이 금요일이였으면 좋겠다..​



 














​​",2021.07.11. 16:29
651,애플워치 버그,ㅁ..멈춰!,2021.07.11. 11:15
652,안트라사이트 밴드(애플워치6 스댕 실버),"어제 스타필드 애플샵가서 구매했는데요...안어울릴줄 알았는데.... 역시 스뎅은.... 모든줄에 다어울리네요 ㅎㅎ이제는 에르메스 가죽은 도저히 땀차서 못차겠고... 나이키 안트라사이트 차고다녀야겠어요!!



 

























​",2021.07.11. 10:46
653,애플워치 거치대 나름 인테리어 효과도 있네요ㅎㅎ,거치대 여럿 구경하가 레트로 느낌 좋아서 구매했습니다.디자인 색상 모두 레트로 감성이 뿜어지네요ㅎㅎ대만족!,2021.07.11. 09:19
654,watchOS 7.6 퍼블릭베타5 예상대로 토요일 새벽에 배포됐습니다-!!,​설마 했는데 정말 토요일에 배포를.!!토요일 배포에 버전 끝자리가 a로 끝나는거 보니 다음주에 RC버전 배포는 확실할듯 합니다.안 올리신 분 계시면 얼른 올리세유~~,2021.07.11. 08:27
655,카시오!,잠이안와서... 워치 꾸며보기..ㅋㅋㅋㅋ,2021.07.11. 04:06
656,미국에서 건너온 포브 바레니아 아뜰라주 더블투어 (Feat. 남자 착용샷!),"한달 전에 구매한 블루 사피흐 스위프트 아뜰라주 더블투어는 고스란히 환불하고 아사모 회원분께서 알려주신 미국 공홈 에르메스에서 직구했는데 퇴근하고 집에 오니 반겨주네요ㅎㅎ ​회원분들께서 블루도 예쁘고 잘 어울린다고 해주셨지만 작년에 워치6 출시했을 때부터 포브를 더 가지고 싶었고 비슷한 인디고 블루가 있어서 그런지 제 눈엔 포브가 더 이뻐보이네요ㅎㅎ​기껏해야 4종류에 같은 포브 싱글 더블라인을 제외하면 고작 2종류 밖에 없고 아뜰라주를 제외하면 새상품이 아닌 중고로 업어왔음에도 이정도 모은걸로 만족이 되는군요ㅎㅎ​비교을 위해 블루랑 비교샷 올려봅니다~ 



 




























































































































​",2021.07.11. 01:54
657,호구짓 시작하는것같네요..,한정판 샀습니다... ㅜㅜ​이제 줄질 시작인가요? ㅜㅜ,2021.07.10. 23:59
658,큰맘먹고 에르메스 구매한 이유...,현실적으로 내가 살수있는 명품중엔 가장 합리적이라서;;;옷이든 가방같은 악세사리에 명품이라고 몇백을 태울 자신은 없는데..워치는 그냥 행복회로 태웠습니당...ㅋㅋㅋㅋ;;,2021.07.10. 23:09
659,맥주병 뚜껑 워치,맥주병 뚜껑 워치 (오늘 아님 주의⚠️),2021.07.10. 21:25
660,씨쏠트+토앤토플립플랍 셋투🙃,어쩌다 보니 셋투가 ㅋㅋㅋ워치4 스댕쓰 골드씨쏠트 스트랩토앤토 플립플랍 크림​깔맞춤이...이루어졌네???​여름엔 상쾌하게!!!!!😁😄🙃,2021.07.10. 20:31
661,워치2세대에서 SE로 변경,워치 2세대를 4-5년 쓰다 이번에 운명하셧네요​베터리 교체하면 된다지만 여친이 커플로 6를 사자는거​SE로 합의보고 넘어왔네요​진동이 조금 약하다? 라는거 빼고는 차이점을 모르겠네요​진동조절도 안되는데 왜이리 약하게 만들었는지 ㅜㅜ​또 몇년 잘 써봐야겠어요,2021.07.10. 19:22
662,쥐샥맛,여름이라 흰색으로🤟🏻,2021.07.10. 18:49
663,예뿐 백조 워치 🥰🧚🏻‍♀️,"​스와롭스키 페이쓰 넘 예뻐요 🥳​션하게 새하얀 스트랩😙



 



첨부파일

Swa2.clock


파일 다운로드",2021.07.10. 18:27
664,애플워치와 장보기....(feat. 골댕이 자랑질😎),"장보러 마트에 갔더니 코로나 증가세 때문인지 사람이 너무 많아 10분만에 장보고 도망치듯 돌아왔습니다



 







깔맞춤 이거 맞는건가요😎😎











개인적으로 비스듬히 찍는게 참 이쁜것 같습니다😁😁😁 골댕이의 장점을 부각..ㅋㅋ











🤩30대 남자도 초코비 정도는 괜찮겠죠...?🤩







​장보는 내용은 없고 워치 자랑질만하고 사라집니다😎😎😋다들 시원한 주말 보내세요 그럼이만😆",2021.07.10. 17:51
665,애플워치 산 기념으로 만들어 본 워치 거치대 입니다~,충전 거치대 하나 필요했는데 인터넷에 돌아다니는 도면으로 뽑아봤어요 ㅎㅎ 괜찮네여,2021.07.10. 17:29
666,꺅 드디어 차고나왔어요!!!!,"​아진짜 너무영ㅇ롱해요 ㅠㅠㅠㅠ실버 스트랩중엔 링블이 최고인듯해요,,,사고나서 한참 나갈일 없다가 드디어 차고나갔습니당!!정품은 비싸서 못샀고,,, 페이스는 역시 순정이 최고에요!!!!!!!",2021.07.10. 16:58
667,스포티파이 워치 노래 저장!!,업데이트 되었군요ㅎㅎ드디어 실외 러닝할때 아이폰 없이도노래를 마음껏 들을 수 있게 되었습니다!,2021.07.10. 15:14
668,좋은하루되세요~~,날씨가 더워서 메탈밴드 착용해 봤네요~알리형네 꺼지만 나름 괜찮네요^^,2021.07.10. 14:37
669,깔끔하게 와치,더운데 후다닥 나갔다 와야겠네요,2021.07.10. 14:25
670,죠르디 귀여워요(feat.캬캬님),캬캬님 클락 죠르디 블랙버전인데 넘 귀엽네요ㅋ캬캬님 감사해여~~,2021.07.10. 13:02
671,드디어 구입했어요!!!,SE 구입하고 주변 드라이브 왔는데 사람도 한적하고 뷰가 너무 예쁘네요😊✨ 애플워치랑 한 컷 찍어봤습니다 :),2021.07.10. 12:00
672,12프로맥스 어플 잔상,어플사용하다 홈으로 스와이프하면 그어플 아이콘이 잔상남는데 이런분 계신가요?,2021.07.10. 10:37
673,오늘의워치,"무기명 투표 중뭐가 젤 예뻐요 ?2021.12.31. 23:55까지HERMESROLEXPATEK PHILIPPECARTIER
                    투표하기
                

        투표자 보기
    
                투표자 0명
            
            확인
        
        전체 투표자 보기
    
                투표자 0명
            
            확인",2021.07.10. 10:14
674,토요일 워치입니다 😊,"​오랜만에 맑은 날씨라서 좋은데 덥네요.. ㅋㅋ​그래서 시원한 메탈 스트랩을 차고 카페에서 더위 피하는 중입니다 ㅎㅎ​



 














​​",2021.07.10. 09:44
675,7월 목표 저보다 쉬운분 있으신가요?,일할때랑 집에서는 워치를 빼고있었더니 안걷는다고 생각했나봐욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ6월보다 줄었어요!그런데 10일 지났는데 아직도 한번도 성공을 못했네요…😅😅,2021.07.10. 09:27
676,카카오톡 업데이트 하길래 기대햇는데..,아니나 다를까 역시 안되네요 워치 베타 하지 말걸 ㅠㅠ 언제 되려나..,2021.07.10. 00:39
677,줄질의 끝은 있는건가요...,얇은 스트랩에 꽂혀서 이것저것 사봤습니다ㅎㅎ,2021.07.09. 21:25
678,인터내셔널 페이스 애플워치3 적용불가,"인터내셔널 워치페이스는 워치4부터 적용가능하다고 하네요ㅠㅜㅜ워치3가 적용할 수 없는 패이스들도 많고 업데이트할때마다 초기화하는 것도 그렇고 생각보다 제약이 많네용,,,이제 현역은 아닌 거같아요ㅠㅜㅜㅜ그렇다고 지금 SE나 6사기는 아까우니 올해 신제품 출시되자마자 구입하려구요!!!",2021.07.09. 20:48
679,핑크(… 라고 쓰고 연팥죽색이라 읽는) 새줄,"​핑크라더니 받아보니 저런색 시리즈입니다 🤣워치거치대, 줄, 스벅콜드컵 다 핑크랬거든요 ​간만에 케이스 없이 슬림(인조)가죽줄 해봤어요페이스는 워치애니띵 이미지는 요기서 공유받았습니다 감사합니다 👍🏻​​​",2021.07.09. 16:30
680,공유 받은 워치페이스에용!,웃기지마라님께서 공유 해주신샤넬 페이스로 적용해 보았어요!!오늘 밴드를 저 색으로 차고 나와서 좀 미조합이지만;;페이스 깔끔하고 너무 예뻐요!!!다시금 감사드립니다👏🏻,2021.07.09. 16:18
681,스트랩 장만은 역시 꿀잼임됴...,너무 이뻐서 기분최고에요...밀레니즈루프는 처음 사봤는데 넘 만족이에요스그라 이것도 스그색상 해봤는데 찰떡이에요!!!!:),2021.07.09. 15:40
682,금요일에는 역시,역시 올블랙으로 가야죠블랙 케이스랑 블랙 메탈 스트랩까지은근 이쁘네요 ㅋㅋㅋ,2021.07.09. 14:13
683,운동해요!,요 몇일 몸이 불어난거같아서.. 운동시작했는데 힘드네여 ㅠㅠ,2021.07.09. 13:59
684,이번주는 죠르디가 핫하네요+_+,"다들 어제 여러분 인증해주셨던 캬캬님 콜로지💚💛💚💛💚💛죠르디 엄청 인증해주셨었죠~저도 아디다스였다가 후다닥 바꿨었어요~~~>_<​너무 감사합니다~



 









 

























요건 퍼플이님께서 알려주셨던 ㅇㄹ발 브레이드솔로루프 어젯밤 왔어용~피스타치오 퍼플 프라이드에디션까지~~!역시나 죠르디와 찰떡이구용~ 에헤헤헤감사해용❤️💜​제일 작은 사이즈 시켰는데 제가 만삭이라 그런지 손목이 많이 부어서 딱 맞네용ㅠㅠ



 









 




































헤헤헤헤 카페에서 받았던 배경화면도 해봤구요~​너무너무 맘에 들어용~",2021.07.09. 13:55
685,맥세이프 듀오 충전중,아이폰 11 프로 이용자입니다.아이폰도 충전 잘 되네요. 호갱의 끝은 맥세이프 듀오라더니... 제가 그 호갱입니다 ㅋ여행 다닐 때 편리하긴 하겠네요. ​#충전기는_미포함#그것도 usb_c_to_라이트닝​,2021.07.09. 13:31
686,오늘은 스포츠다 ~!!,"​



 














꿉꿉한날씨니 너로 정했다다들 불금보내세요~!다음주부턴 4단계입니다 슈우우우우우바아아아알",2021.07.09. 13:28
687,요즘 레트로가 땡기네욤 ㅎㅎ,메탈이 무겁긴 해도 예쁘긴하네요 ㅎㅎ,2021.07.09. 12:36
688,금요일 워치입니다 😊,"​역시 심플한게 좋네요 ㅎㅎ​



 














​​",2021.07.09. 09:43
689,역시 꾸미기 나름이네요,베젤땜에 페이스랑 줄질이 까다롭네염 ㅠㅠ,2021.07.09. 09:34
690,골댕이와 함께하는 퇴근길😎,"퇴근길 영롱한 골댕이입니다😎😎😎​비오고 갠 하늘의 역광이 아름다워서....감성적인 너낌으로다가...😍​칙칙한 손모가지는 보정의 도움을 한껏 받아도 역부족이네요ㅋㅋㅋ😁 그러나 골댕이만큼은 영롱합니다😆😍👍​



 







아이폰이 역광도 제법 잘 잡아주네요😁👍 






















층수가 낮아서 엘베샷은 급하게 호다닥 😆



 



​페이스를 만들어주시는 캬캬님 항상 감사합니다



 









 



(숙제완료)",2021.07.08. 22:04
691,저의페이스임돠,윰앙쥬님께 받은걸 약간수정해서 쓰고있어요.한동안계속이걸루ㅋㅋ,2021.07.08. 20:58
692,너무 더워요😶‍🌫️ 무더운날 스트랩은 가볍게~,"저는 여름을 좋아는 하지만, 워낙 땀이 많아서 힘든 계절인거 같아요T^T​진짜 장대비 갑자기 쏟아지기 직전에 너무 더워서 녹아버릴것 같더라구요…o_O;;;​오늘은 엘라고 미니 마우스 스트랩과 귀요미 도라에몽 조합으로 마음만은 상큼하고 시원하게 댕겨봤어요😂​죠죠 귀여운 도라에몽이는 퍼플님이 공유해주신 이미지구요, 늘 예쁜거 많이 공유해주셔서 감사해요 퍼플님! 보라합니다 헤헤💜​QR 체크인도 워치로 띡!!!잘 안찍힐까봐 살짝 긴장 했는데 ㅋ (이게 뭐라고 ㅋㅋ) 인식도 잘 되고 넘 편하네요😎​",2021.07.08. 20:00
693,스포티파이관련입니다!,한국도 이제 애플워치로 다운로드하기 가능한가봐요! 저 지금 다운로드 중입니다!,2021.07.08. 19:06
694,요즘 저의 최애 페이스입니다,"점심 때 나가면서 한 컷,퇴근하고 집에 누워서 한 컷.​꽃찡비님이 올려주신 클락콜로지에서 제 편의를 위해 약간 수정했는데요 ㅎㅎ (배터리, 만보기 추가, 시간 크기 좀 줄이고 초시계 추가, 시간 폰트 살짝 변경)​아 정말 예쁘네요 ㅎㅎ 새삼 또 이렇게 행복하네요 ㅎㅎ이 맛에 애플워치가 지겨워지지 않아요!꽃찡비님 다른 페이스도 우선 저장했어요. 감사합니다 ^^",2021.07.08. 18:37
695,새로운 페이스,새로운 페이스 추가 해봤어요 ㅎㅎ,2021.07.08. 18:30
696,새로운 페이스 예뻐요!!,국기 예뻐요!!​유로 결승 기념 이태리로 바꿔봤네요 ㅎㅎ,2021.07.08. 18:10
697,망작 개코 워치(개코 워치 그냥 눈감아ㅏ👀),"하이욤🙌🏻개코몽끼입니당🙈🙊​장마철이라서 날씨도 우중충...기분도 Blue day?🤣아늬지 아늬지 촐랑방정개코몽끼🤭​그래서 오늘은여어🙊​나름?! 화사하게 노란색이 뽀인트로 들어간 원피스&밀레조합역시 밀레는 최공최공젤루 애정해💜



 









 



​



 














노랑노랑에 어울리는 페이스 찾다가 나비💛💚녹색과 노랑의 조합🤭



 














착용샷🙈아이구 내족발...👀 망삘이다아🤣



 














반클리프 골댕 페이스🙊요거 넘넘 예쁘다여골댕이 분들에게 더 잘어울릴 것 같아여 헿



 














실버에는...👀(동공지진)큐빅케이스 대신... 페이스로 뽀인트를 주고 싶었을 뿐인데🙈🙈​결론: 오늘의 워치는 망작🙊​",2021.07.08. 15:05
698,애플워치 40mm / 44mm 크기 비교,사진은 손목둘레 16 기준입니다 44mm는 손목에 꽉찬느낌이고 40mm는 여유로운 느낌입니다 (위에 44mm / 아래 40mm)개인적으로 40mm가 더 깔끔해보이네요 (저는 큰것보다 작은거 선호합니다)구매하실때 참고하시면 좋을것 같습니다,2021.07.08. 14:39
699,오늘은 브솔 민트,ㅇㄹ발 브솔 민트랑 애플 민트배경이랑 캬캬캬님이 올려주신 클락콜로지 죠르디로 해봤네여ㅋ,2021.07.08. 14:03
700,오랜만에 메탈!!,진짜 맨날 투명스트랩 아니면가죽만 꼈는데오랜만에 메탈스트랩을 꼈는데 시계를 새로 바꾼 기분이네요 ㅋㅋㅋ,2021.07.08. 12:33
701,과한듯 예쁜,아사모 정보로구입한 베젤이랑 밴드가 왔어요.블링블링 과한듯 예쁘네요  ​워치가 커진감은 있으나화려하고 싶은 날 잘 사용할거 같아요^^,2021.07.08. 11:23
702,목요일 워치입니다 😊,"​나이키 페이스 이쁘네요 헤헷​



 














​​",2021.07.08. 10:50
703,나의 최애 스트랩 맛점 정말 너무 예쁘다,안녕하세요.벌써 목요일이네요 ... ㅎ요즘 시간이 너무 빨리 가는 것 같아요 ㅜㅜ​오늘은 저의 최애 스트랩인 가죽 스트랩을 차고 나왔어용​블랙 색상 스트랩은 스그 워치보다 실버 워치에 더 잘 어울리는 것 같은 느낌 ..?(제 개인적인 생각입니다.)​그럼 다들 오늘도 화이팅하세용,2021.07.08. 10:46
704,짭 링블 오늘도 화이팅입니다 여러분!,ㅇㄹ에서 구매한 링블착용해 봤습니다 ㅎ 밖엔 무지막지하게 뜨겁네요~! 모두들 퐈이팅입니다~!,2021.07.08. 10:37
705,I'm Korean.,"스포츠스트랩은없지만..​그래도​I'm Korean​ㅎㅎ​



 





















 



​",2021.07.08. 10:26
706,메탈스트랩 고리 형태 아닌거,"메탈 스트랩 보면 워치에 연결하는 부분 고리형태로 되있는게 많던데그거 싫어서 일체형 처럼 연결된 걸로쿠팡에서 1만3천원에 샀는데  만족. 시계줄 조절기 안와서 망치로 하느라 애먹었네요. ​전 워치 색상 스그라서메탈 착용 할때는 ptu소재 유광 케이스 낍니다. 근데 스그+메탈스트랩도 나쁘지는 않음. ​​​​



 




































​​​",2021.07.08. 03:16
707,인터네셔널 정품 가로수길에 들어왔습니다,지니어스바 갔다가 2개 질렀습니다원래는 미국과 뉴질랜드 생각하고 갔는데실물 보자마자영국과 뉴질랜드 질러서 왔습니다,2021.07.08. 01:00
708,곱창밴드에 진심인 사람의 곱창스트랩,"​이번엔 곱창스트랩을 가져왔어요!🤩​사실 곱창밴드 정말좋아하지만,, 곱창 스트랩은 약간 너무 간것같아서? 별로 살마음이 없었다가후기를 보니 편하대서 사봤는데진짜 편하긴하더라구요..👍🏻​



 














​고무줄이다보니 착용이 넘간편해서운동할때두 집앞에 갈때두 그냥 막착용하기 넘좋더라구여!!!💗좀 덜튈만한 블랙체크루 골랐찌용​



 














​제가 갖고있는 곱창밴드들 인데욘ㅋㅋㅋㅋㅋ이렇게 하나가 더추가되었네욬ㅋㅋ​​



 

























곱창스트랩삿더니 쎗투로 같이 받았지머에욬ㅋ두개 같이하기엔 투머치라 별로 쓸것같딘않은데...🙄​글고 보통 곱창스트랩은 많이들 크다고 하던데제가 산거는 짱짱해서 제 손목13기준 하나도안컸어용!!​



 







제가 갖고있는 몇안되는 귀여운페이스,,😚


















투머치일수도 있지만 일단 편하고 간편해서데일리로 딱입니더👍🏻​",2021.07.07. 21:58
709,줄질 충동구매...,"이것저것 고르다가 보니까 무지막지해졌네요,,,,,, 하핳​정품은 아니지만 대대대만족입니다 ❤️",2021.07.07. 20:21
710,거치대 샀습니다,"엘라고 제품이 괜찮은 것 같아서W2에서 W5까지 고민하다그냥 심플한거 함 써보자, 싶어 구매해봤어요 😆



 














​깔끔하고 괜찮네요 ㅎㅎ​근데 왠지 아이폰이랑 에어팟프로까지같이 충전하는 거치대를 사야하는건가급고민 되는군요~🤣🤣​​",2021.07.07. 20:11
711,제발 버텨다오 .. ༼ಢ_ಢ༽,"​



 














아침에 풀충 못했는데 깜박하고 낮에 충전을 안했더니..저 빨간거만 보면 후달려요 ㅠㅠㅜㅜㅜㅜㅜ 집에 가기 전까지 버텨다오 워치야 ㅠㅠ",2021.07.07. 18:05
712,오늘도 즐거운 줄질이에요,투명 미니?인데 정말 예쁜데 정말 정말 예쁜데 정말 땀이 제가 찬 스트랩들중 최고로 차요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.07.07. 17:36
713,스그 줄질도 재밌어요!!,무광실버 개취로 싫어해서 스그샀는데 줄질 재미있네요 ㅎㅎ무채색은 역시 다 잘받아요. ​구나저나 셀룰러로 바꾸고 싶어서 안달났습니다 ㅠㅠ 교환이라도 해야할 판국이네요 ㅠㅠ,2021.07.07. 17:33
714,생각보다 너어무 잘어울립니다 비타민씨!!,"​



 














​사놓고 스그에 안어울리면 어쩌지 고민 쫌 했는데,막상 차보니 잘어울리네욥 크…(책상이 지저분해서 난리난 크롭상태 죄성ㅎㅎ)아웅 소화 못하는 컬러가 있긴 한거니 스그야 🤭",2021.07.07. 17:28
715,으아아아 스댕 실버 최고에요,"그파가 최고인줄알았는데 ㅠㅠ실버라니...​모든 애플 기종을 실버로 바꿔버리고싶네요



 














​",2021.07.07. 17:08
716,워치6 알루에서 스댕으로 바꿨어요!!,"작년 10월에 알루 구매해서 잘쓰고있었는데 6월에 ㅋㅍ 30%? 할인뜬걸로 냉큼 집어왔네요 ㅎㅎ알루 팔릴때까지 개봉도 안하고 있다가 드디어 어제 개봉했어요!스댕 비싸서 사고싶단 생각만 했는데 너무 예뻐요😍😍



 














​",2021.07.07. 16:57
717,크.. 에르메스 느와르 + 링블은 진리네요.,일 하다가 갑자기 예뻐보여서 찍었습니다 ㅎ영롱하네요~ 역시 남자는 블랙이죠!!,2021.07.07. 16:24
718,애플워치 메탈 스트랩 샀어요!!,요즘 메탈 스트랩이 그렇게 예뻐보이길래 샀는데 대만족이네요❤️❤️,2021.07.07. 16:00
719,뉴질랜드,이쁘고 심플하고 깔끔하고 다 좋은데 왜 페이스는 ...오류가.......,2021.07.07. 15:59
720,사과하나 배송중이에요!,"SE쓰다가 7나오면 갈아탈거에요 ㅎㅎ 스트랩고르다가 눈빠질거같아요... 



 









 














악세사리도 구매하니깐 통장진짜 순삭이네요,,진짜 조심히 쓸예정입니다 빨리왔으면좋겠네여",2021.07.07. 14:43
721,스그 워치의 변신은 무죄!,"배젤링으로 실버인척 해봤습니당​가지고 있는 페이스중 은근 여기에 어울리는 페이스를 찾기가 어려워서 고생했슴다ㅠㅜㅠ​하지만 오늘도 너무 이쁜것,,",2021.07.07. 14:34
722,이쁘네여,이쁘네여​,2021.07.07. 14:30
723,이것좀 봐주세요.. ㅋㅋㅋㅋㅋ,"친구가 워치를 거꾸로 차고 있는고에요... 그래서 제대로 차라고 하니까원래 이렇게 차는 게 맞다고 하는데진짜 그런가요???😊?? 자기 남친도 시계도 이렇게 찬다고.. 하는데 이렇게 차는 사람 저는 본 적이 없어요 😅



 







1번(크라운 방향 봐주세요)











2번(친구방향)







1122해주세요😅",2021.07.07. 13:41
724,시원한 느낌의 워치 추천,일관성 있는 사진을 좋아해서 계속 사진을 출근하고 찍네요 ㅎㅎ​오늘 차고 나온 스트랩은 여름에 딱인 시원한 느낌의 투명스트랩이예용​남성분이든 여성분이든 정말 잘 어울려서 추천드려요! :),2021.07.07. 12:37
725,꿉꿉한 수요일 워치입니다,"​덥고 습한 장마철 다들 건강관리 잘 하세요​



 














​​",2021.07.07. 10:36
726,오늘의워치입니다,오늘 하루도 화이팅입니다^^​,2021.07.07. 09:21
727,출퇴근 기준 베터리,"7시반~20시까지 29% 줄어들었습니다.aod 온 상태고 손목들기, 카톡, 문자 등 몇가지 알림 설정상태입니다.우려했던것 보다는 괜찮은 것 같아서 좋네요ㅎㅎ",2021.07.06. 23:33
728,봄님에게 드림받은 스트랩 :),봄님에게 드림받은 피스타치오 솔로루프가방금 도착해서 찍어봤어요!💚 포장도 꼼꼼히해주시고 완전 새상품이더라구요 ㅠㅠ👍💜감사합니다 봄님 ! 예쁘게 사용할게용 *ଘ(੭*ˊᵕˋ)੭*,2021.07.06. 23:05
729,커플 메탈 스트랩,여름에 필수 메탈 스트랩 👍,2021.07.06. 20:54
730,드디어 왔네요.,이제 나도 애플워치 오너..!,2021.07.06. 20:11
731,모든 국가 인터네셔널 컬렉션 언박싱 영상이 올라왔네요. (해외유튜버),"제가 워치밴드 구입시에 자주 참고하는 외국 유튜버인데 이번에 나온 인터네셔널 컬렉션 스포츠루프 모든 국가껄 다 사서 언박싱했네요. 한국꺼는 2번째영상 8:58 부터 나옵니다. 다른 국가 버전도 궁금하신분들은 참고해보셔요. ​https://youtu.be/cUi39zSpj7A



 











https://youtu.be/_0gNk90LCNo



 











​",2021.07.06. 18:13
732,애플워치 스트랩~,브레이링크슬릿 여름에는 이만한게없습니다 편하네요 무게는 크게못느끼겠구 티타늄에 잘어울립니다~,2021.07.06. 15:57
733,오늘의 페이스공유(Clockology/아디다스 페이스2종),"안녕하세여 여러분!!그동안 쪼매 게을렀습니다요!



 









 



​그리고 클락콜로지가 앱스토어에서없어졌다는 천청벽력같은 소리를 듣고나니페이스 만들기에 흥미가 떨어져버린...ㅠㅠ​그래도 이미 사용하시는 분들을 위해서라도힘을 내야겠져!!!! 아니면 저만 모르는 새로운어플이 유행하고 있나요...ㅎ아시는분은 댓글로 알려주세여.. (유행에 뒤처지긴 싫어하는편ㅋㅋㅋ)​​오늘은 아디다스 오리지널그중에 삼선!로고를 가지고페이스를 만들어왔습니당!​워낙 사진자체가 깔끔한지라휘뚜루마뚜루 만들어도 예쁘더라구요 ㅎㅎ​배터리표시를 퍼센트로하느냐원래 올렸던 것 처럼 그림으로 하느냐두가지로 나눠져있고 다른부분들은다똑같으니까 맘에드시는걸로 다운받으셔요!​​1. 배터리(퍼센트%)



 














​​2. 배터리(일반그림)



 














첨부파일

아디다스삼선(퍼센트)-made by별.clock


파일 다운로드





 



첨부파일

아디다스삼선-made by별.clock


파일 다운로드





 



​​⚠️제가 만들어서 공유하는 모든 페이스의저작권은 저에게 있습니다.이를 공유 및 재배포시에는 블로그 출처를남겨주시기 바라며, 제가 만든 페이스를 상업적으로 사용하고 싶으신 경우에는 저와 사전에 '꼭' 협의를 해주시기 바랍니다.⚠️",2021.07.06. 15:19
734,새 스트랩!!,"원래 처음 살때 애플스토어에서 변경해서 스포츠루프사용했었는데 스포츠루프가 멋내기엔(?) 좀 밋밋해서새로운 스트랩 찾다가애플 공홈에 자석스트랩이 너무 예쁘더라구요,,하지만 가격이 사악해서,,비슷한 스타일로 하나 구매해봣어요 ㅋㅋ",2021.07.06. 12:56
735,새로 산 줄+케이스들요,"귀여운걸 좋아하는 저에겐 취향저격이네요!!​



 

























이 색상은 정말 정말 예상에 없었으나 뜬금 신랑이파자마 노란색을 삿대서... 그냥 맞춰입으려 삿어요... 예쁘니 만족스럽네요 ㅎㅎ다들 즐거운 줄질 되세요❤️",2021.07.06. 12:15
736,오늘의 워치 페이스 에르메스 레인보우,clockology 로 사용중인데 ​운동 자주해서 귀찮아서 잘은 안 하게 되네요 😭,2021.07.06. 11:44
737,아… 이거 이쁜긴 이쁜데,이게 로즈골드 색상이 진짜 이쁘긴 이쁜데이거랑 어울리는 스트랩이 잘 안보이네요,2021.07.06. 11:40
738,헬스장 갈 때 추천하는 스포츠 밴드,저는 오늘도 출근이요...​오늘은 끝나고 헬스장을 갈 예정이라 스포츠밴드로 끼웠어용​그런데 기존 스포츠밴드는 착용이 어려운데​이거는 버클로 되어 있어서 착용이 편하네요 ㅎㅎ​​,2021.07.06. 11:17
