,내용,등록일
1834,그래서 그냥 돌아가는 중입니다 톼근하자마자 들뜬 마음으로 갔는데 근데 말이 애매해네요 없다는 말은 아닌거 같은데 우리는 안판다서비스센터랑 연결된 디프가봐라 대충 이런말 같던데요,2020.12.04. 18:32
1835,솔직히 폴드2가 그립긴하네요 큰 화면 120hz 웹툰 좋아하는 저로써는 폴드가 굉장히 좋았는데 딱하나 무게땜에 아이폰12로 갔습니다 확실히 옷에 넣을때 안늘어나더라구요 폴드는 케이스카메라필름 포함 320g에 육박했고 아이폰12는 풀커버필름 카메라필름 케이스까지 195g 나오니까요  갤럭시가 무게분산 잘해서 체감이 덜나가긴해도 절대무게는 무시 못하겠더라구요 손목 건초염올까봐 폴드의 모든걸 포기하고 넘어갔습니다 제가 봤을때는 폴드의 최고 고쳐야할점은 무조건 경량화라고 봅니다 이미 핸드폰이 할 수있는 대부분이 완성형에 가까우니 말이죠 폴드3 솔직히 s펜 지원도 좋겠지만 무게 줄일수만 있다면 s펜도 빼고 무게 줄인 폴드3가 나왓으면 바로 정착 예정입니다 개인적 바램이지만 220g대 미만으로만 경량화 해준다면 바로 아이폰 짱돌로 내려 찍은후 폴드에 정착할 예정입니다  거듭강조하지만 제발 경량화 기도합니다,2020.12.03. 17:20
1836,완전 신세계네요 앞으로 스마트폰 이런 형식으로 나올까요  책펼치듯이 시원시원하네요,2020.12.03. 16:14
1837,진짜 글 올라온대로 하니깐 컴맹수준이 저도 한번에 비로 손쉽게 성공했네요감사합니다모두하세요 핸드폰 질이 올리갑니다 톰브 크 ,2020.12.02. 19:16
1838,제목에는 간략한 질문내용 표시사용기종  갤럭시폴드2질문내용  구체적으로 폴드2 톰브라운 플립 커버 구입 후 테마 적용하였으나테마st에서는 키패드가 적용이 안되어 머릿속에 자꾸  펌웨어가 맴돌았습니다ONE UI 30 베타에 참여중이었지만 베타 포기하고 펌웨어 올리기로 결정 파일 다운받는데 시간이 너무 오래 걸려 22달라짜리 멤버쉽 결제 후 30분만에 다운받고바로 올렸는데 C to C 케이블로 노트북하고 연결해서 그런지 오딘에서 한번 FAIL뜨고나서 USB to C케이블로 바꾸니 성공했습니다역시 순정펌웨어가 좋긴 좋네요부팅화면부터가 간지 작살입니다 문제는 아이콘 통일성이 없다는 것인데이것은 흠 고민 좀 해봐야겠습니다  ,2020.12.01. 07:06
1839,폴드2  무게가 이렇게 가벼웠나 놀람 ,2020.11.30. 20:33
1840,폰질문금지 판매글금지 추천인수익글 금지 아이폰 11pro max 1년 쓰다가폴드2 넘 잘나왔길래갤럭시 투고 막바지10월 말 종료에 1박2일이라도 빌려서 사용해본 후새로운 폼펙터 120Hz 주사율에 홀려 구입후 한달째 사용중인 유저입니다폴드2 구입예정분들 관심있으신분들께 조금이나마 도움이 되었으면 하는 바램으로글을 적어보겠습니다이 글은 지극히 개인적 소감을 표현한 글입니다 따라서 전체의 입장이 될수없는 점을 꼭 참고부탁드립니다1 단점1 무게 저는 현재 뒷판만 삼성 정품 레더케이스 사용중인데 약 290 그램 아이폰 11pro max도 케이스끼면거의 250그램에 육박했던지라 저는 폴드2가 무거운지 잘 모르고 쓰고있습니다이부분은 워낙 상대성이 강하기에 본인이 현재 사용하고 계신 기종의 무게가 어떤지 알아두시고폴드2는 꼭 실물로 만져보시고 구입하시는걸 권해드립니다 접었을땐 무게감이 확실히 느껴지는 편이며 상대적으론 펼쳤을때는 오히려 가벼운느낌입니다2 애매한 비율 접었을땐 세로로 긴 느낌에 펼쳤을땐 정사각형에 가깝다보니 영상을 봄에있어 썩 좋은 비율은 아닙니다3 악세사리 부재 말 그대로 폴드2를 위한 악세사리가 많이 부족하고 퀄리티면에서 떨어지는것도 사실입니다4 보험강제 3에서 추가적으로 이어지는 내용인데 삼성케어플러스 혹은 통신사 보험을 강제한다는 게 단점입니다무게도 무게고 워낙 고가인폰인지라 보험없이 사용한다는것은 사실상 불가능에 가깝기 때문입니다 추가로 폼펙터가 폼펙터다 보니 방수방진 미지원 혹시라도 떨어뜨릴시 충격에 약한부분과내부액정이 개선되었다고는 하나 아직은 UTG가 많이 약하기때문에 막 쓰는데에 솔직히 걱정이드는건 사실입니다5 카메라 이부분도 상대적인 부분이겠으나 카메라 성능을 별 중요하게 생각하지 않는 저는 크게 신경을 안쓰는 부분입니다2 장점1 예상외로 오래가는 배터리 이부분도 상대적이긴 하겠으나 저는 배터리 끝판왕이라는 아이폰 11pro max를 이전에 사용했었고 11프맥을 사용하면서도 도중에 SE SE2를 한달씩 썻다가 배터리때문에 도저히 못쓰겠어서 다시 되팔았던 사람으로서폴드2의 배터리타임은 아이폰11pro max와 견줄정도로 생각보다 준수한 배터리타임을 보여주는것 같습니다 오전 8시반 100으로 출근하여 퇴근후 8시경 집에 돌아오면 20전후로 남아있네요내부화면은 솔직히 많이 사용안합니다 더더구나 집이 아닌 상황에서는요 저뿐만 아니라 대다수 유저분들이마찬가지라 생각되어지네요 내부화면에 120Hz로 쓰더라도 Wifi 사용시에는 확실히 오래갑니다2 넓은화면 분할화면 펼쳤을때 보이는 넓은 대화면은 누구라도 처음보시게되면 와시원하다 는걸 느끼실수 있습니다 그리고 넓은 대화면을 분할화면으로 이중삼중은 잘 안쓰게 되더라구요으로 여러작업을 동시에할수있다는건 폴드2만의 최대장점이라 생각이 됩니다 나아가 이 넓은 화면을 120Hz로 본다는건 폴드2만 누릴수 있는 특징이겠죠3 스피커 출력 해상면에서 개인적으로 많이 놀랬습니다 비교영상도 유튜브에 많이 있으니 참고하시면 되겠습니다4 중고가 단점이라면 단점이지만 또 처음 구매하시는 분들에게는 비싼 정가에 비해 중고이지만 반정도 떨어진 금액에구매하실수 있는 부분이 나름 장점이 되지않을까 싶습니다3 정리 두서없이 쓰다보니 여러 얘기를 많이 못담은것 같으나 꼭 드리고싶은 말이있다면무턱대고 구매하시기 전에 가능만 하다면 폴드2를 한번 들어보시고 만져보신 뒤에 구입하셨으면 하는 바입니다 그리고 폴드2는 폰의 목적성과 사용성이 조금은 분명한 폰이기에 꼭 본인의 사용 스타일을 확인해보시고폴드2의 방향성과 맞는지 고려하신 후 구매하신다면 후회없이 선택하실수 있을 것 같습니다긴글 읽어주셔서 감사합니다,2020.11.30. 16:12
1841,적용난이도는 중급이지만만족도는 높네요실제로 동영상 잠금화면까지 적용할 수 있어서 싱크로율 높은 것 같습니다펌웨어 방법도 생각해봤는데 그건 조금 위험부담이 있는 것 같더라구요저는 폴드2 ONE UI 30 베타 이용자인데전화 키패드만 빼고 전부 적용됩니다깔맞춤 제대로 했네요  ,2020.11.30. 13:59
1842,무게때문에 꽤 불편할줄 알았는데그래도 접었을때 너비가 좁아서 그런지한손컨트롤이 가능해서 무게단점을 상쇄시켜주는 거 같습니다위아래로 길쭉한 화면도 영상볼때 제외하고는 폰으로서 오히려 더 좋기도 하네요,2020.11.29. 08:14
1843,단점이없음,2020.11.28. 19:45
1844,1 갤노트20 울트라  갤럭시폴드2 둘다 블랙만 사용 브론즈 무광을 못보고 둘다 블랙만 사용했는데 유광이 이쁘긴 하지만지문 유분이 하얗게 남는게 정말 보기 싫었어요디프가서 브론즈 보고나니까 브론즈 살걸 후회했습니다그러다가 우연찮게 후면 무광필름을 보고 집 근처 부착점에서 붙이고 왔습니다2 디자인 일단 무광 정말 이쁩니다 유광도 이쁘긴 하지만 메탈느낌나는 무광이 더 고급스럽습니다다만 아쉬운 점은 핏이 정확히 떨어지지 않고 아래부분이 살짝 남네요 그 부분빼고는 디자인 적으로 정말 좋습니다3 지문 무광이라 지문이 안묻을거라고 생각할 수도 있는데 무광도 묻긴 묻습니다티는 덜 날뿐이죠 하지만 하얀 유분은 남지 않네요 그 부분에서 바꾸길 잘한 것 같습니다4 그립감일단 생폰에 비하면 확실히 필름 두께가 느껴집니다 물론 거슬리기도 하구요하지만 처음 필름붙이고 나서 느낌과 적응 좀 되고나서 느낌은 다르네요적응하니까 뭐 그냥저냥 생폰 비슷한 느낌 납니다5 사진은 방 불다끄고 찍어서 노이즈가 많이 꼈는데 그냥 봐주시면 될 것 같아요낮에 다시 찍어서 올려보겠습니다 사진 올리는김에 배경화면 바꾼것도 같이 찍어봤네요    ,2020.11.27. 22:01
1845,너무 행복해요 시계는 재고들어오면 알려준다네요,2020.11.27. 21:26
1846,메인스크린보다 커버스크린을 더 많이 봅니다 커버스크린 잔상으로 나가겠네요 ,2020.11.27. 16:46
1847,없음,2020.11.26. 23:25
1848,집에서 허리고무줄로된 헐렁한 반바지를 입고생활하는데 주머니에 넣고 다니면 바지가 자꾸 무릎까지 내려가네요물론 저야 애기둘을 키우는 결혼하고 살만큼 산 유부남이라 큰 상관은 없지만 사귄지 얼마안된분들 이런상황 발생되면 생각만해도 끔찍하네요폴드2 구매 예정이신분들 참고하세요,2020.11.26. 15:51
1849,폴드2 폴드1 보상프로그램으로 사전예약보다 하루 일찍 예약하고 두근두근 핸드폰만 기다리길 한참이었습니다만 받고나니 이런 신세계가 또 없더라구요 그렇게 갤폴드2와 함께한 약 2달간동안 느낌 장점 단점을 간략하게 작성해봅니다  디자인 910전체적으로 전부 만족스럽습니다 외부화면은 카메라를 펀치홀방식으로 넣어 다른핸드폰보다 부족한 가로 너비에도 불구하고 광활함이 느껴지네요 내부화면 또한 폴드1과 다르게 사라진 노치로 인해 그냥 작은 테블릿을 쓰는 느낌이 들어요 힌지 부분도 단단하다고 해야 하나 탄탄하다고 해야 하나  만족감은 9점입니다 다만 가로폭이 조금만 더 넓었으면 하는 아쉬움이 조금 남아요 디스플레이 710내부화면은 120HZ 주사율로 과거 쓰던 핸드폰과 확실하게 다름을 느낍니다 스크롤시에 이게 120HZ구나 라고 생각이 들만큼 체감이 많이오더군요 아쉬운 점은 전면부는 60HZ로 다소 120HZ내부 화면을 보다가 외부를 보면 눈이 피곤하다고 해야 하나 또 한참동안 외부 화면만 보면 모르다가 내부화면 보면 체감이 확확 다시 옵니다  전원버튼  지문인식1010 물리버튼과 지문인식 버튼 통합 진짜 좋네요 쓰다보면 너무 편합니다 전작도 통합이었나기억이잘 사운드810이부분은 전문분야가 아니고 막귀인 편이라 순전히 느낌만을 말씀드리자면 중저음이 상당히 인상적이네요 기존 사운드 보다 훨씬 나아졌습니다 막귀인데도 체감 가능 근데 실사용시에 집에서는 갤탭으로 동영상을 보다보니 대부분 외부에서 버즈를 끼고 사용 하는지라 활용을 많이 해보지 못해서 참고만 해주세요 힌지1010 프리스탑 힌지라는게 사실 소개영상 볼땐 몰랐는데 실제 사용해보니 진짜 편합니다 세우기에도 좋고 손으로 쥐고 사용할때도 32 정도만 펼친상태로 손으로 잡고 동영상보면 진짜 좋습니다 근데 조심하긴 해야 할 것 같아요세워 뒀다가 쓰러져서 책상밑으로 떨어뜨릴뻔 한게 여러번입니다  카메라610사실 카메라는 잘안써서 체감을 못하겠습니다만 카메라는 하드웨어보단 소프트웨어 적으로 활용폭이 많이 넓어진 것 같아요  셀피모드 및 반으로 접어서 리뷰할수 있는 기능이라던가 이런 부분은 활용도 많이 올라갈듯 합니다근데 이거 너무 아쉬운게 기본 카메라앱만 되더라구요 대부분 어플로 사진 많이 찍게 되는데  기본카메라로 찍는분 많으신가요 풍경아니고서야  혹시 설정 방법 아시는분 계세요 무게310여전히 무겁습니다 전작과 차이점이라기엔 뭐 비슷해서 모르겠지만 조금 더 경량화가 됬음 좋았을껄 했지만 뭐 원래 들고다니던거라 익숙하긴 합니다 떨어뜨리면 최소 발등 금갈 것 같다는 농담적인 느낌저는 그래서 링케케이스에 목걸이줄 걸고 목에다 걸고 다닙니다  가격310역시 어마어마한 가격이에요 저는 보상판매가 없었다면 구매를 심히 망설였을 것 같네요 개인적인 의견입니다그럼에도 불구하고 가격만한 가치는 한다고 생각해요 국내 유일 무이한 완성도 높은 폴더블 폰이니까요  사용710 외부 디스플레이는 넓어졌지만 손가락이 두꺼워서 그런가 외부에서 키보드 치기엔 여전히 불편합니다 가로길이의 부재겠죠 그럼에 결국 카톡하다가 오타에 답답해져서 화면을 펼치게 됩니다 그러나 내부 화면은 또 너무 넓어서 자판 입력이 불편해지네요 저는 개인적으론 카톡이나 검색을 자주 하는 편으로 외부화면의 활용도가 어떻냐 라고 물으시면 저한테는 별로네요 인터넷 서핑 및 단순 유튜브 감상등의 용도로는 나쁘지 않습니다 전작에 비하면 어마어마한 발전인건 인정 물론 잘쓰시는 분들은 많으실 것같아요 훨씬 넓어졌거든요  구성품의 부재 110받자마자 들고다니기가 너무 겁났엇습니다 맨몸으로 한 일주일 들고다니는데 핸드폰을 모시고 다녔어요  그냥 막케이스라도 넣어줬음 구매할때까지 좀 버틸 수 있을텐데 좀 많이 아쉽네요 또 전작과 다르게 버즈는 빠져있어요 사전예약 안하고 구매를 했다면 기존의 버즈를 사용하거나 해야 되겠네요 방수 010방수가 안된다니 화장실에서 샤워할때도 겁나서 못들고 들어가길 어언 두달 최근부터는 그냥 안에서 노래틀고 샤워하고 합니다 참고로 저의 샤워환경은 뿌연 김이 언제나 꽉꽉 들어차는 극악의 조건이라고  자부합니다 아직은 이상없어요  이상입니다  궁금하신점 있으시면 언제나 댓글로 물어보시면 환영입니다 ,2020.11.26. 15:20
1850,에어프로 있어서 버즈를 팔아야하는지 사용해야되는지 고민이네영 ,2020.11.25. 14:57
1851,진짜 무게 빼곤 완벽한  폰이네요 방수 안된다해서 화장싱쫄았는데 강 들고 영상틀고 샤워합니다 ,2020.11.23. 20:29
1852,폴드1 사용자로 출시하자마자 구매할까 고민하다가 내부 구성품 부재 옆그레이드가 걸려 톰브라운 신청했는데 실패 폴드3 나올때까지 폴드1으로 버틸려고 했으나워치3 살까해서 삼성디프 놀러갔다가 브론즈 패키지 구성품보곤 바로 넘어왔습니다워치는 와이프랑 같이 사려고 했던거라 구성품이 버릴게 없어서 브론즈 워치랑 버즈는 와이프 주고전 1112월 구매혜택으로 워치 실버30 할인 구매버즈 화이트로 받을 예정입니다갑자기 이런 패키지 있어 가지고 당황했네요 나오자마자 사고 봤으면 열받을 뻔폴드에 완전 적응이되가지고 바형 폰은 이제 못쓸 지경까지 왔는데확실히 외부화면 커진거랑 내부화면 노치 없어진게 굉장히 실사용에 편하게 다가오네요그리고 폴드1 충전히 생각보다 조금 답답했는데 그나마 빨라져서 배터리 관리하기가 좋은 것 같습니다유튜브도 테블릿 형식으로 보여서 활용하기가 좋아졌더라고요 다른 앱들도 많이 개선이 되었으면 좋겠네요아무래도 가로가 더 넓어져서 잡았을 때 느낌은 폴드1이 더 좋긴한데 크게 거슬리는 부분은 아니고향후 모델이 가로가 더 넓어지면 무게나 휴대성이나 문제가 좀 있을 것 같네요가로 사이즈는 지금 사이즈가 거의 최대치일 듯 합니다폴드1을 워낙 오래써서 활용하는데 크게 문제는 안될 것 같고 이래저래 한동안 가지고 노느라 바쁠 것 같습니다 ,2020.11.23. 15:36
1853,안녕하세요글을 길게 쓰긴 그렇고 영상 간단하게 찍고 사진 올립니다알리 케블라케이스 후기 및 아라미드와 비교백마디 말보단 사진과 영상이 도움이 될 듯 합니다현재 폰은 완전 생폰상태에 케이스 장착입니다원래부터 내 외부 필름 안씁니다 후면 필름도 없습니다참고하세요  케블라케이스 장착상태에서 최대한 잘 보이게끔 그리고 실사용 전면 위주 영상 입니다밑에는 케블라 및 기존 아라미드 케이스와 비교 샷 입니다모든 건 직접 찰영한겁니다iphone xs max로 촬영 ,2020.11.22. 02:30
1854,돌들어가서 한번씩 중앙이 튀어나오더니 이번엔 튀어나와잇길래 만져봣더니 액정 가로 세로로 길게 쭉 다나겟네요,2020.11.21. 16:46
1855,무게는 사실 기본 무게가 있어서 적응이라고하면 무리가 있지만그래도 들고 다닐때 신경쓰이진 않네요그리고 이제 바형태로는 돌아가기가좀두렵긴 합니다 저는 폰 대부분 펴서 사용하는데 그래서 하루에도 수십번을 접었다 펼쳣다하구요 넓은 화면의 사용성에 빠지니 커버화면은 간단한 확인 아니면 거의 안쓰게되더라구요회사에서 특히3분할로 켜놓고 마우스랑 키보드로 책상에서 사용할때는 대화면 아님절대 불가능하니까요 카톡 주식창 인터넷창 3분할은정말 꿀이더군요그외에도 다양한 조합이 가능해서 이것저것 다양하게 쓰고 있구요첨에는 분할의 매력을 몰랏는데 폴드의활용성은 컨텐츠 소비 그리고분할 화면에 있다고 생각됩니다단점은 하드웨어적인건 뭐 무게나 화면 비율이니 어쩔수 없겟줘소프트 웨어적으로는 화면 비율 관련해서 아직도 어플들마다 화면에 다 보이지 않는경우도 있거다보기위해서는 꽉찬화면이 아닌 비율을 조정해서 넓은화면의이점을 활용 못할때가있습니다그리고 분할햇을때 어플간 분할 크기를 조절하면 자연스럽게 조정이 안되는경우더 많구요그래서 어플을 커버에서 열엇다가 메인에서 다시켜야 할때가 종종 있습니다폴드 형태든 롤러블 형태던 대화면에 맞는 소프트웨어는 어차피 필요하니빨리 지속적으로 대응 하주길바랍니다3주간 쓰면서 사실 첨에는 바꿀까 엄청 고민 햇거든요 근데 이제는 생각이 많이 변했습니다활용성이나 편의성에서 다양하게 대화면의 활용도와 사용 빈도를 높일수록폴드2의 매력이 올라가더군요 언능 생활방수 방진 무게를 줄인 폴드3 이던 새로운 형태의 기기가 나오길 기대해봅니다개인적의견이지만 폴드2 쓰신다면 꼭 대화면을 많이 활용해 보시길대화면 사용 비율이높아질수록 폴드2 매력이 올라갑니다사진은 제가 회사서 켜놓은 3분할 화면입니다  ,2020.11.21. 10:34
1856,외이프랑 커플로 쓰려고 사전예약해서 두대 샀었는데 와이프는 무거워서 못 쓰겠다고 플립을 사고싶어하는 눈치더라고요BTS S20 플러스 두달쓰고 폴드로 바꾼거라 사달라는 말은 못하고 검색만해서 눈팅만 하는게 참 걸리더라고요아는 형님 폰가게에 물어보니 퍼플은 완판이래서 골드로 개통해줬는데 계속 맘에 안들어하는 눈치라서결국 전국을 뒤져 퍼플을 구해줬습니다폴드2가 좀만 가벼웠어도 이런 쌩쑈를 안했을텐데,2020.11.20. 22:48
1857,브론즈 곱다사과제품만 쓰다가 약8년만에 갤럭시진짜 어색하고 신선하네요근데 휴대폰 받칠 때 새끼손가락 아프네요그리고 언박싱하자마자충전하는데 안되네요다른 충전기로는 바로 되는데충전기 본체가 먹통이네요하 충전기 꽂은 상태이상 후기였슴다 갬성샷사진사과XR,2020.11.20. 14:10
1858,사전예약 때 주문했다가 사정이 생겨서 취소했다가 우여곡절 끝에 구매했습니다사전예약 때 비교하면 가격이 엄청 다운됐네요삼케플 유료 가입완료했고 요금제혜택에 통신사 보험이 지원됩니다  와 카메라 강화유리로 중무장하고 사은품 및 패키지는 모두 방출했습니다   진짜 물건이네요심적으로 정말 안심이 됩니다물만 조심하면 될 것 같습니다잘 부탁드립니다,2020.11.18. 18:50
1859,이 가격에 이거 누가사 한 50만원은 더 싸져야지 240주고 산 폴드2 민팃에 넣고 82만원 나와서특별보상 15만 하면 97만와 엄청 잘쳐준다 100만원 보태야지 잇힝하고있는데 들은 말 이렇게 무거운데 어떻게 써 힌지 맞대보니 얇아진게 눈에 보이고 쌩폰유저 기준으로 들어보니 가벼워진게 체감되서 와 가볍고 얇아졌다 진짜 좋다 생각했는데 들은 말S펜이 따로네 S펜 수납만 됬으면 뒤도 안돌아보고 1등으로 사전예약구매했음 이건 4에 가능하리라 믿나이다 삼멘 그럼 또 바꿔야지제 일이랑 라이프 패턴에 너무너무 잘 맞는 폴드이기에 전 앞으로도 쭉 폴드만 계속 쓸것같습니다폴드2가 벌써 출시된지 1년됬네요폴드2 샀을때부터 이미 폴드3가 기대된다고 했는데 너무 만족하고 삶의 질을 반단계는 끌어올려준 고마운 폰입니다이제 비오는날 주머니 넣어서 비 안피해도 되고옛날 갤럭시에 그랬듯이 폰 더러우면 물에 씻어도 되네요 1년 내내 샤워하면서 거치대에 걸고 뉴스 영상 잘 보긴했습니다예전 폴드1에서 폴드2처럼 천지개벽 느낌은 다소 부족하지만 그래도 기대됩니다나에겐 할부가 있다 고통받는건 내일의 나지 오늘의 내가 아니다저 대충 검색해보고 일렉트로마트 삼디플이 젤 좋다고해서 가서 구매했는데 잘 산거 맞죠 맞다고 해주세여직원도 오늘 그 표 유출되는 바람에 오늘까지만 그 혜택이고 내일부턴 폐기라고 하던데뭔가 당한것 같기도하고사실 폴드3 구경만 하러가고 바뀐거도 없고 올갈이 하고 폴4 존버타야지 생각하고 간건데나올때보니 영수증이 ,2021.08.13. 21:43
1860,카페 회원님 따라 저도 구매했네요지금 각인도 해주고 최대 15000원까지 할인해줍니다사전예약하신분들언능 케이스 준비하세요저는 이제 차량 거치대 알아봐야겠네요,2021.08.13. 21:32
1861,후면카메라 작동시전면카메라 작동시폴드3의 S펜으로 낙서한 모습 음량 80 음량 80 ,2021.08.13. 19:43
1862, 본 글은 삼성멤버스에 올렸던 게시글을 그대로 복사 붙여넣기 한 게시글입니다 안녕하세요 Pro프로입니다어제 저녁 11시 2021년의 하반기 플래그십 스마트폰 및 웨어러블 기기 언팩이 열렸었는데요 저도 정말 재밌게 봤고 여러분들도 즐겁게 보셨지 않았을까 싶습니다하지만 재밌게 본걸로만 끝이 나면 안 되겠죠 실물 또한 직접 모두 보고 왔습니다이번 게시글에서는 정말 간결하게 여러분들께서 궁금해하실만한 내용들만을 위주로 내용을 남겨드리도록 하겠습니다Z폴드3 우선 먼저 Z폴드3를 살펴봤습니다 색상은 그린실버블랙 색상이 전시되어 있었구요 이제 궁금하실만한 내용들로 넘어가 보겠습니다 UDC 같은 경우에는 솔직히 많이 아쉬웠습니다그냥 흰 화면에서도 눈에 잘 띄고 밝은 환경에서 영상을 재생해보니 티가 조금은 잘 났던것 같습니다뭐 카메라 품질은 테스트 해본 결과 크게 좋지는 않았지만 그럭저럭 쓸만은 한데 개인적으로 UDC는 완성형에 가까워지려면 어느 정도 시간이 필요할 것 같네요  S펜 같은 경우에는 커버 디스플레이에서는 사용이 불가능 했구요 메인 디스플레이에서는 아주 부드럽게 사용이 가능했습니다또한 UDC가 적용된 카메라 부분같은 경우도 동일한 디스플레이이기 때문에 S펜을 정상적으로 사용할 수 있었습니다또한 가지고 있는 S펜을 깜빡하고 안 가져가서 직접 실험은 못 해봤지만 폴드 전용 S펜은 특수 펜촉을 적용하였기 때문에 폴드 전용 S펜을 제외한 특수 펜촉이 적용되지 않은 다른 S펜삼성타사 제품 모두 동일은 사용 시 디스플레이 손상을 방지하기 위해 출처  알뷰 유튜브경고 문구가 뜨며 사용할 수 없다고 하니 참고 바랍니다  S펜 프로는 사용 가능합니다 주름같은 경우는어 많은 개선을 기대했었는데 솔직히 말해서 전작에 비해 큰 개선을 이루지는 못 했습니다 하지만 주름 부분이 특별하게 막 울퉁불퉁 하지는 않았으며 주름 부분에 S펜을 사용하는 데에도 큰 문제가 없었기 때문에 사용상에 문제는 없을 것으로 보입니다 접었을때 양쪽 디스플레이가 붕 뜨는 정도는 전작에 비해 많이 평평해졌다는것이 느껴졌으며 큰 개선을 이룬 것 같습니다그 외 두께나 무게같은 경우도 전작에 비해 경량화가 되었다는 느낌이 어느 정도 체감이 되었습니다Z플립3 다음으로 Z플립3를 살펴봤습니다 색상은 크림라벤더그린블랙 색상이 있었구요 또 한번 넘어가보겠습니다 우선 딱 들어봤을때 커버 디스플레이가 눈에 가장 먼저 들어왔습니다커버 디스플레이는 전작에 비해 4배가 커졌으며전작인 플립 1세대에 들어가지 않았던 커버 디스플레이 AOD 기능을 사용할 수 있습니다전작에 AOD 기능이 빠졌던 이유가 AOD기능이 작동하면 번인 방지를 위해 1분마다 AOD 화면이 이동을 해야하는데 1세대 플립의 경우 외부 디스플레이가 매우 작아 이동할 공간이 없어 번인의 우려로 빠졌던 것 같은데역시나  이번에 외부 디스플레이의 크기가 넓어지다 보니 AOD 화면이 이동할 공간이 충분해져AOD 기능을 사용할 수 있게 되었습니다또한 플립3의 커버 디스플레이로는 AOD 뿐만 아니라 다양한 작업도 수행할 수 있는데요 이런 식으로 알림알람음성 녹음타이머 등등의 간단한 기능도 수행할 수 있고 여기에는 안 나왔지만 위에서 아래로 스와이프 시 밝기 조절도 할 수 있고 반대로 아래에서 위로 스와이프 시 접은 상태에서 삼성 페이를 사용할 수도 있습니다 또한 플립도 폴드와 마찬가지로 접었을 때 붕 뜨는 정도가 전작에 비해 개선되었음을 느낄 수 있었습니다워치4시리즈 워치 4 워치 4 클래식자 이제는 워치4시리즈인데요 이 부분은 딱히 크게 설명드릴 부분은 많진 않은데 어쨌든이번 워치4 시리즈에는 타이젠 OS 대신의 구글의 웨어OS가 탑재되었으며 램과 저장용량 모두가 획기적으로 늘어났습니다그렇기에 버벅임도 현저히 줄어들었고 웨어 OS의 최적화도 생각보다 좋았다고 느꼈으며 체지방 분석 등의 헬스 관련 기능들 또한 인상 깊었습니다다만 아쉬웠던 점 하나는 워치4 모델의 베젤이 기대보다는 넓더라구요 전작까지는 베젤링 없는 모델에 마음이 조금 더 갔었는데 이번에는 베젤링이 있는 클래식 모델이 조금 더 마음에 들었던것 같습니다Buds2 버즈2같은 경우에는 색상은 화이트라벤더올리브 색상이 전시되어 있었구요 어떤 색상이든 관계 없이 외부는 화이트 색상으로 통일되어 있는 모습을 확인할 수 있었습니다 저희 지역 디프에는 청음할 수 있는 구간이 있던데 해보려다가 어떻게 해야하는건지 잘 모르겠어서  청음은 해보지 못 했고 착용만 해보았는데 버즈 프로에 비해서 착용감이 월등히 좋았습니다아주 잠깐이지만 껴보니 오랜 시간 착용해도 귀에 부담이 가지 않을 것으로 느껴졌으며 빠지려는 느낌은 약간 들었지만 그래도 안정적으로 잡아주는 것 같았습니다이렇게 언팩 다음 날 바로 디프를 탐방해보고 궁금하실만한 내용들을 정리를 해 보았습니다사실 이 글은 대충 새로 공개된 제품들을 살펴보고 어려분들께서 궁금하실 내용들만을 위주로 살펴보기 위함으로 작성했기 때문에 빠진 부분들도 많긴 합니다만  다른 부분들은 다른 분들께서 정리해주신 내용들을 확인하시면 좋을 것 같고 제 글에서는 간략하게 궁금증을 해결하는 용도로 읽어주시면 좋을 것 같습니다아무쪼록 이번 글은 여기까지입니다 감사합니다 ,2021.08.13. 19:10
1863,1 디스플레이전작과는 달리 화면이 조금 더 단단해진 느낌입니다 전작은 우레탄 필름 붙여놓고 쓰는 느낌이라면 이번작은 그냥 일반 보호필름 붙이고 쓰는 느낌이었 습니다 전면 디스플레이도 주사율이 올라가서 만족스러웠습니다2 s펜화면이 조금 더 단단해진 느낌이라 그런지 필기감이 꽤 괜찮은 느낌었습니다 잠깐 만져보았을 때는 그다지 오차가 있다고 느끼지는 못했습니다 펜 크기도 약간 있어서 집고 쓰기에 편했습니다 다만 노트와는 달리 수납이 안되는 펜이라는게 너무 아쉽습니다 매일같이 펜을 쓰지는 않지만 꽤 필기용으로 자주 쓰기에는 수납펜이 더 좋다고 느꼈습니다3 카메라전면 디스플레이 펀치홀 카메라와 후면 카메라는 무난한 느끼이었습니다 4 UDC원래 디스플레이나 카메라에서 다루는 것이 맞는 듯 하지만 따로 봐야할 문제인것 같습니다 화면밝기 50로 사용한 기준입니다 일단 신경이 쓰입니다 카메라가 한쪽 끝에 있어도 찜찜한 느낌을 주는 것이 오른쪽 화면 중앙에 있으니까 유튜브 볼 때 은근 신경쓰입니다 이 부분만 격자무늬가 생깁니다 검은 화면이면 그냥 카메라가 보이는데 검은 색이 아니면 방충망이 보입니다 그래서 화면이 전반적으로 넓고 시원한 느낌을 주면서 높은 주사율이 만족스러우면서도 이건 옥에 티였습니다 그리고 이 카메라로 셀카를 찍는 것은 무리입니다 조금 떨어진 곳에 있는 큰 광고문구를 찍었는데 이 카메라만 글자가 흐립니다 사진이 찍힌다에 의의를 두어야 할지 모르겠슥니다,2021.08.13. 15:57
